Artist ID,Artist Name,Number of Fans,Number of Albums,Deezer Link,Fan to Album Ratio
1436111,Kip Moore,40470,41,https://www.deezer.com/artist/1436111,987.0731707317074
5286,Breaking Benjamin,665593,22,https://www.deezer.com/artist/5286,30254.227272727272
12033224,Dermot Kennedy,150462,45,https://www.deezer.com/artist/12033224,3343.6
9700940,Bad Omens,91285,19,https://www.deezer.com/artist/9700940,4804.473684210527
7584298,Sultan + Shepard,28256,14,https://www.deezer.com/artist/7584298,2018.2857142857142
12246,Taylor Swift,11572037,103,https://www.deezer.com/artist/12246,112349.87378640777
5962948,Shawn Mendes,6546590,38,https://www.deezer.com/artist/5962948,172278.68421052632
144227,Katy Perry,9336810,75,https://www.deezer.com/artist/144227,124490.8
1181430,Meghan Trainor,1654199,75,https://www.deezer.com/artist/1181430,22055.986666666668
1562681,Ariana Grande,12868369,55,https://www.deezer.com/artist/1562681,233970.34545454546
7185748,I Prevail,133705,18,https://www.deezer.com/artist/7185748,7428.055555555556
68249,Our Last Night,108653,146,https://www.deezer.com/artist/68249,744.1986301369863
12945219,Chappell Roan,82044,17,https://www.deezer.com/artist/12945219,4826.117647058823
14226477,girl in red,698465,27,https://www.deezer.com/artist/14226477,25869.074074074073
13022633,Maisie Peters,51401,58,https://www.deezer.com/artist/13022633,886.2241379310345
12096038,Central Cee,485643,56,https://www.deezer.com/artist/12096038,8672.19642857143
246791,Drake,23336500,69,https://www.deezer.com/artist/246791,338210.14492753625
4037971,Vince Staples,77628,27,https://www.deezer.com/artist/4037971,2875.1111111111113
9776678,Lil Yachty,419125,70,https://www.deezer.com/artist/9776678,5987.5
14492701,Lil Tecca,608447,38,https://www.deezer.com/artist/14492701,16011.763157894737
384236,Ed Sheeran,20069432,130,https://www.deezer.com/artist/384236,154380.24615384615
9635624,Billie Eilish,8300939,31,https://www.deezer.com/artist/9635624,267772.22580645164
7543848,Post Malone,3914623,36,https://www.deezer.com/artist/7543848,108739.52777777778
8706544,Dua Lipa,8217632,108,https://www.deezer.com/artist/8706544,76089.18518518518
4050205,The Weeknd,13181694,84,https://www.deezer.com/artist/4050205,156924.92857142858
416239,Imagine Dragons,8715685,63,https://www.deezer.com/artist/416239,138344.20634920636
75798,Adele,14650682,15,https://www.deezer.com/artist/75798,976712.1333333333
429675,Bruno Mars,11642074,29,https://www.deezer.com/artist/429675,401450.8275862069
6982223,BTS,3549322,83,https://www.deezer.com/artist/6982223,42762.9156626506
1188,Maroon 5,11035904,58,https://www.deezer.com/artist/1188,190274.2068965517
288166,Justin Bieber,10697256,56,https://www.deezer.com/artist/288166,191022.42857142858
9064930,Cardi B,2402355,70,https://www.deezer.com/artist/9064930,34319.357142857145
4495513,Travis Scott,2720704,54,https://www.deezer.com/artist/4495513,50383.40740740741
5292512,Halsey,1964077,48,https://www.deezer.com/artist/5292512,40918.270833333336
362326,Khalid,1693256,88,https://www.deezer.com/artist/362326,19241.545454545456
1097709,Sam Smith,5365251,48,https://www.deezer.com/artist/1097709,111776.0625
5200025,Lizzo,419234,42,https://www.deezer.com/artist/5200025,9981.761904761905
5313805,Harry Styles,1974072,5,https://www.deezer.com/artist/5313805,394814.4
4860761,J Balvin,10157455,152,https://www.deezer.com/artist/4860761,66825.36184210527
10583405,Bad Bunny,6886034,90,https://www.deezer.com/artist/10583405,76511.48888888888
5578942,Doja Cat,2217206,56,https://www.deezer.com/artist/5578942,39592.96428571428
11152580,Olivia Rodrigo,1440810,21,https://www.deezer.com/artist/11152580,68610.0
5531258,SZA,1018246,36,https://www.deezer.com/artist/5531258,28284.61111111111
15166511,Lil Nas X,1658622,30,https://www.deezer.com/artist/15166511,55287.4
12816021,Megan Thee Stallion,827362,93,https://www.deezer.com/artist/12816021,8896.36559139785
10803980,BLACKPINK,2324827,17,https://www.deezer.com/artist/10803980,136754.5294117647
9236850,Camila Cabello,3714395,40,https://www.deezer.com/artist/9236850,92859.875
15888,Jonas Brothers,1645068,45,https://www.deezer.com/artist/15888,36557.066666666666
382937,Nicki Minaj,7149686,101,https://www.deezer.com/artist/382937,70788.97029702971
